UBIGEO,DISTRITO,PROVINCIA,DEPARTAMENTO,LATITUD,LONGITUD
060401,CHOTA,CHOTA,CAJAMARCA,-6.555281874,-78.64146956
010302,CHISQUILLA,BONGARA,AMAZONAS,-5.89320537,-77.78280858
120807,SANTA BARBARA DE CARHUACAYAN,YAULI,JUNÍN,-11.21381302,-76.42904358
140304,JAYANCA,LAMBAYEQUE,LAMBAYEQUE,-6.394345534,-79.81451536
200601,SULLANA,SULLANA,PIURA,-4.898786419,-80.63618267
061303,CATACHE,SANTA CRUZ,CAJAMARCA,-6.735890508,-79.04859161
061307,PULAN,SANTA CRUZ,CAJAMARCA,-6.745548677,-78.92685928
080102,CCORCA,CUSCO,CUSCO,-13.58823633,-72.0648791
180207,MATALAQUE,GENERAL SANCHEZ CERRO,MOQUEGUA,-16.48359776,-70.8257103
140105,JOSE LEONARDO ORTIZ,CHICLAYO,LAMBAYEQUE,-6.736405277,-79.84175568
150407,SANTA ROSA DE QUIVES,CANTA,LIMA,-11.69496209,-76.89434487
081304,MACHUPICCHU,URUBAMBA,CUSCO,-13.14503057,-72.56898717
120121,HUAYUCACHI,HUANCAYO,JUNÍN,-12.13321972,-75.22483635
220605,PAJARILLO,MARISCAL CACERES,SAN MARTÍN,-7.194322722,-76.70233263
080602,CHECACUPE,CANCHIS,CUSCO,-14.00506551,-71.46907152
040507,HUAMBO,CAYLLOMA,AREQUIPA,-15.73044682,-72.10810089
050410,UCHURACCAY,HUANTA,AYACUCHO,-12.77389463,-74.08262126
060504,GUZMANGO,CONTUMAZA,CAJAMARCA,-7.367974043,-78.91690445
211204,PATAMBUCO,SANDIA,PUNO,-14.37179661,-69.6435318
131003,CACHICADAN,SANTIAGO DE CHUCO,LA LIBERTAD,-8.001379013,-78.11535899
090111,MARISCAL CACERES,HUANCAVELICA,HUANCAVELICA,-12.53571033,-74.93383789
050201,CANGALLO,CANGALLO,AYACUCHO,-13.60683026,-74.13445686
150601,HUARAL,HUARAL,LIMA,-11.49022421,-77.20913506
190205,SAN PEDRO DE PILLAO,DANIEL ALCIDES CARRION,PASCO,-10.43005413,-76.5000479
130902,CHUGAY,SANCHEZ CARRION,LA LIBERTAD,-7.842595074,-77.78980806
060404,CHIGUIRIP,CHOTA,CAJAMARCA,-6.409399128,-78.69964905
160303,TIGRE,LORETO,LORETO,-3.371831226,-74.87382965
250203,TAHUANIA,ATALAYA,UCAYALI,-9.970402082,-74.03464762
080604,MARANGANI,CANCHIS,CUSCO,-14.38292432,-71.14769363
050202,CHUSCHI,CANGALLO,AYACUCHO,-13.57239926,-74.34210636
120504,ULCUMAYO,JUNÍN,JUNÍN,-10.90910888,-75.80611038
090504,EL CARMEN,CHURCAMPA,HUANCAVELICA,-12.7340547,-74.48499189
040206,OCOÑA,CAMANA,AREQUIPA,-16.4333477,-73.10736084
100510,SINGA,HUAMALIES,HUÁNUCO,-9.394723415,-76.80223751
250106,NUEVA REQUENA,CORONEL PORTILLO,UCAYALI,-8.306165695,-74.86537933
151025,QUINOCAY,YAUYOS,LIMA,-12.34476233,-76.25241852
151002,ALIS,YAUYOS,LIMA,-12.29855967,-75.75381088
220710,TRES UNIDOS,PICOTA,SAN MARTÍN,-6.806466579,-76.23116302
061006,JOSE MANUEL QUIROZ,SAN MARCOS,CAJAMARCA,-7.350089312,-78.03548908
120410,HUERTAS,JAUJA,JUNÍN,-11.76725215,-75.4726572
150301,CAJATAMBO,CAJATAMBO,LIMA,-10.47623014,-76.99631119
